site,county,District,name,view
好房網,澎湖縣,湖西鄉,澎湖縣湖西鄉,24507
好房網,澎湖縣,望安鄉,澎湖縣望安鄉,45868
好房網,澎湖縣,馬公市,澎湖縣馬公市,9039
好房網,澎湖縣,西嶼鄉,澎湖縣西嶼鄉,51293
好房網,澎湖縣,白沙鄉,澎湖縣白沙鄉,28911
好房網,澎湖縣,七美鄉,澎湖縣七美鄉,47605
好房網,臺南市,鹽水區,臺南市鹽水區,30612
好房網,臺南市,關廟區,臺南市關廟區,9022
好房網,臺南市,歸仁區,臺南市歸仁區,46875
好房網,臺南市,龍崎區,臺南市龍崎區,57928
好房網,臺南市,學甲區,臺南市學甲區,29523
好房網,臺南市,臺南市,臺南市臺南市,34786
好房網,臺南市,楠西區,臺南市楠西區,17588
好房網,臺南市,新營區,臺南市新營區,25886
好房網,臺南市,新市區,臺南市新市區,45594
好房網,臺南市,新化區,臺南市新化區,3605
好房網,臺南市,善化區,臺南市善化區,51490
好房網,臺南市,麻豆區,臺南市麻豆區,46866
好房網,臺南市,將軍區,臺南市將軍區,10335
好房網,臺南市,柳營區,臺南市柳營區,45458
好房網,臺南市,後壁區,臺南市後壁區,31615
好房網,臺南市,南區,臺南市南區,37171
好房網,臺南市,南化區,臺南市南化區,18089
好房網,臺南市,東區,臺南市東區,38314
好房網,臺南市,東山區,臺南市東山區,21045
好房網,臺南市,官田區,臺南市官田區,4197
好房網,臺南市,佳里區,臺南市佳里區,22853
好房網,臺南市,西港區,臺南市西港區,16396
好房網,臺南市,安南區,臺南市安南區,51572
好房網,臺南市,安定區,臺南市安定區,16005
好房網,臺南市,安平區,臺南市安平區,1689
好房網,臺南市,白河區,臺南市白河區,32782
好房網,臺南市,玉井區,臺南市玉井區,32165
好房網,臺南市,永康區,臺南市永康區,53702
好房網,臺南市,左鎮區,臺南市左鎮區,13793
好房網,臺南市,北區,臺南市北區,16138
好房網,臺南市,北門區,臺南市北門區,37109
好房網,臺南市,六甲區,臺南市六甲區,32511
好房網,臺南市,仁德區,臺南市仁德區,30565
好房網,臺南市,中西區,臺南市中西區,20874
好房網,臺南市,山上區,臺南市山上區,310
好房網,臺南市,大內區,臺南市大內區,5055
好房網,臺南市,下營區,臺南市下營區,55951
好房網,臺南市,七股區,臺南市七股區,46202
好房網,臺東縣,關山鎮,臺東縣關山鎮,54064
好房網,臺東縣,臺東市,臺東縣臺東市,34375
好房網,臺東縣,綠島鄉,臺東縣綠島鄉,29909
好房網,臺東縣,達仁鄉,臺東縣達仁鄉,35480
好房網,臺東縣,鹿野鄉,臺東縣鹿野鄉,3455
好房網,臺東縣,長濱鄉,臺東縣長濱鄉,3247
好房網,臺東縣,金峰鄉,臺東縣金峰鄉,20929
好房網,臺東縣,東河鄉,臺東縣東河鄉,24959
好房網,臺東縣,延平鄉,臺東縣延平鄉,27123
好房網,臺東縣,卑南鄉,臺東縣卑南鄉,47264
好房網,臺東縣,池上鄉,臺東縣池上鄉,20011
好房網,臺東縣,成功鎮,臺東縣成功鎮,55589
好房網,臺東縣,太麻里鄉,臺東縣太麻里鄉,41018
好房網,臺東縣,大武鄉,臺東縣大武鄉,17557
好房網,臺北市,萬華區,臺北市萬華區,29977
好房網,臺北市,南港區,臺北市南港區,55232
好房網,臺北市,信義區,臺北市信義區,35690
好房網,臺北市,松山區,臺北市松山區,32221
好房網,臺北市,北投區,臺北市北投區,49866
好房網,臺北市,文山區,臺北市文山區,18580
好房網,臺北市,內湖區,臺北市內湖區,15261
好房網,臺北市,中正區,臺北市中正區,48491
好房網,臺北市,中山區,臺北市中山區,40445
好房網,臺北市,大安區,臺北市大安區,19228
好房網,臺北市,大同區,臺北市大同區,6357
好房網,臺北市,士林區,臺北市士林區,27510
好房網,臺中市,霧峰區,臺中市霧峰區,5099
好房網,臺中市,豐原區,臺中市豐原區,59100
好房網,臺中市,龍井區,臺中市龍井區,9536
好房網,臺中市,潭子區,臺中市潭子區,34609
好房網,臺中市,新社區,臺中市新社區,16751
好房網,臺中市,清水區,臺中市清水區,56048
好房網,臺中市,梧棲區,臺中市梧棲區,5256
好房網,臺中市,神岡區,臺中市神岡區,716
好房網,臺中市,烏日區,臺中市烏日區,22320
好房網,臺中市,南區,臺中市南區,28604
好房網,臺中市,南屯區,臺中市南屯區,7065
好房網,臺中市,東勢區,臺中市東勢區,34365
好房網,臺中市,東區,臺中市東區,22989
好房網,臺中市,和平區,臺中市和平區,24564
好房網,臺中市,沙鹿區,臺中市沙鹿區,30463
好房網,臺中市,西區,臺中市西區,56212
好房網,臺中市,西屯區,臺中市西屯區,44305
好房網,臺中市,后里區,臺中市后里區,16140
好房網,臺中市,石岡區,臺中市石岡區,17843
好房網,臺中市,外埔區,臺中市外埔區,57344
好房網,臺中市,北區,臺中市北區,9377
好房網,臺中市,北屯區,臺中市北屯區,34487
好房網,臺中市,太平區,臺中市太平區,35365
好房網,臺中市,中區,臺中市中區,41171
好房網,臺中市,大雅區,臺中市大雅區,23663
好房網,臺中市,大里區,臺中市大里區,31269
好房網,臺中市,大肚區,臺中市大肚區,50797
好房網,臺中市,大安區,臺中市大安區,40935
好房網,臺中市,大甲區,臺中市大甲區,27504
好房網,彰化縣,線西鄉,彰化縣線西鄉,12364
好房網,彰化縣,福興鄉,彰化縣福興鄉,33821
好房網,彰化縣,彰化市,彰化縣彰化市,45896
好房網,彰化縣,溪湖鎮,彰化縣溪湖鎮,30445
好房網,彰化縣,溪州鄉,彰化縣溪州鄉,38478
好房網,彰化縣,鹿港鎮,彰化縣鹿港鎮,51057
好房網,彰化縣,埤頭鄉,彰化縣埤頭鄉,32559
好房網,彰化縣,埔鹽鄉,彰化縣埔鹽鄉,26647
好房網,彰化縣,埔心鄉,彰化縣埔心鄉,10697
好房網,彰化縣,員林市,彰化縣員林市,36900
好房網,彰化縣,芳苑鄉,彰化縣芳苑鄉,43825
好房網,彰化縣,花壇鄉,彰化縣花壇鄉,32858
好房網,彰化縣,芬園鄉,彰化縣芬園鄉,39394
好房網,彰化縣,社頭鄉,彰化縣社頭鄉,36785
好房網,彰化縣,和美鎮,彰化縣和美鎮,57700
好房網,彰化縣,秀水鄉,彰化縣秀水鄉,43981
好房網,彰化縣,伸港鄉,彰化縣伸港鄉,35968
好房網,彰化縣,竹塘鄉,彰化縣竹塘鄉,20412
好房網,彰化縣,田尾鄉,彰化縣田尾鄉,43797
好房網,彰化縣,田中鎮,彰化縣田中鎮,3103
好房網,彰化縣,永靖鄉,彰化縣永靖鄉,42721
好房網,彰化縣,北斗鎮,彰化縣北斗鎮,970
好房網,彰化縣,大城鄉,彰化縣大城鄉,14954
好房網,彰化縣,大村鄉,彰化縣大村鄉,3989
好房網,彰化縣,二林鎮,彰化縣二林鎮,37792
好房網,彰化縣,二水鄉,彰化縣二水鄉,1151
好房網,嘉義縣,義竹鄉,嘉義縣義竹鄉,51795
好房網,嘉義縣,溪口鄉,嘉義縣溪口鄉,10982
好房網,嘉義縣,新港鄉,嘉義縣新港鄉,5404
好房網,嘉義縣,番路鄉,嘉義縣番路鄉,56207
好房網,嘉義縣,鹿草鄉,嘉義縣鹿草鄉,54828
好房網,嘉義縣,梅山鄉,嘉義縣梅山鄉,13741
好房網,嘉義縣,東石鄉,嘉義縣東石鄉,6692
好房網,嘉義縣,竹崎鄉,嘉義縣竹崎鄉,30256
好房網,嘉義縣,朴子市,嘉義縣朴子市,49476
好房網,嘉義縣,民雄鄉,嘉義縣民雄鄉,50342
好房網,嘉義縣,布袋鎮,嘉義縣布袋鎮,12380
好房網,嘉義縣,水上鄉,嘉義縣水上鄉,54762
好房網,嘉義縣,太保市,嘉義縣太保市,41537
好房網,嘉義縣,六腳鄉,嘉義縣六腳鄉,58366
好房網,嘉義縣,中埔鄉,嘉義縣中埔鄉,36888
好房網,嘉義縣,大埔鄉,嘉義縣大埔鄉,50312
好房網,嘉義縣,大林鎮,嘉義縣大林鎮,6763
好房網,嘉義市,東區,嘉義市東區,37567
好房網,嘉義市,西區,嘉義市西區,18146
好房網,新竹縣,寶山鄉,新竹縣寶山鄉,45691
好房網,新竹縣,關西鎮,新竹縣關西鎮,10641
好房網,新竹縣,橫山鄉,新竹縣橫山鄉,41842
好房網,新竹縣,新豐鄉,新竹縣新豐鄉,28850
好房網,新竹縣,新埔鎮,新竹縣新埔鎮,54786
好房網,新竹縣,湖口鄉,新竹縣湖口鄉,44816
好房網,新竹縣,峨眉鄉,新竹縣峨眉鄉,24064
好房網,新竹縣,芎林鄉,新竹縣芎林鄉,31682
好房網,新竹縣,竹東鎮,新竹縣竹東鎮,57194
好房網,新竹縣,竹北市,新竹縣竹北市,34518
好房網,新竹縣,尖石鄉,新竹縣尖石鄉,1719
好房網,新竹縣,北埔鄉,新竹縣北埔鄉,53365
好房網,新竹縣,五峰鄉,新竹縣五峰鄉,1882
好房網,新竹市,新竹市,新竹市新竹市,21565
好房網,新竹市,香山區,新竹市香山區,11415
好房網,新竹市,東區,新竹市東區,3800
好房網,新竹市,北區,新竹市北區,54915
好房網,新北市,鶯歌區,新北市鶯歌區,46754
好房網,新北市,蘆洲區,新北市蘆洲區,27194
好房網,新北市,雙溪區,新北市雙溪區,1784
好房網,新北市,樹林區,新北市樹林區,28046
好房網,新北市,萬里區,新北市萬里區,51460
好房網,新北市,瑞芳區,新北市瑞芳區,8353
好房網,新北市,新莊區,新北市新莊區,49449
好房網,新北市,新店區,新北市新店區,41262
好房網,新北市,深坑區,新北市深坑區,30655
好房網,新北市,淡水區,新北市淡水區,51137
好房網,新北市,貢寮區,新北市貢寮區,27494
好房網,新北市,烏來區,新北市烏來區,14278
好房網,新北市,泰山區,新北市泰山區,21664
好房網,新北市,金山區,新北市金山區,39552
好房網,新北市,林口區,新北市林口區,15386
好房網,新北市,板橋區,新北市板橋區,44504
好房網,新北市,坪林區,新北市坪林區,8222
好房網,新北市,汐止區,新北市汐止區,12164
好房網,新北市,石碇區,新北市石碇區,58710
好房網,新北市,石門區,新北市石門區,14634
好房網,新北市,永和區,新北市永和區,40454
好房網,新北市,平溪區,新北市平溪區,24874
好房網,新北市,五股區,新北市五股區,17585
好房網,新北市,中和區,新北市中和區,29103
好房網,新北市,土城區,新北市土城區,33339
好房網,新北市,三峽區,新北市三峽區,7136
好房網,新北市,三重區,新北市三重區,32314
好房網,新北市,三芝區,新北市三芝區,58387
好房網,新北市,八里區,新北市八里區,20055
好房網,雲林縣,褒忠鄉,雲林縣褒忠鄉,19734
好房網,雲林縣,臺西鄉,雲林縣臺西鄉,42525
好房網,雲林縣,莿桐鄉,雲林縣莿桐鄉,19280
好房網,雲林縣,麥寮鄉,雲林縣麥寮鄉,4573
好房網,雲林縣,崙背鄉,雲林縣崙背鄉,12371
好房網,雲林縣,虎尾鎮,雲林縣虎尾鎮,59721
好房網,雲林縣,林內鄉,雲林縣林內鄉,26790
好房網,雲林縣,東勢鄉,雲林縣東勢鄉,54552
好房網,雲林縣,西螺鎮,雲林縣西螺鎮,52198
好房網,雲林縣,四湖鄉,雲林縣四湖鄉,35794
好房網,雲林縣,古坑鄉,雲林縣古坑鄉,10410
好房網,雲林縣,北港鎮,雲林縣北港鎮,12723
好房網,雲林縣,水林鄉,雲林縣水林鄉,37919
好房網,雲林縣,斗南鎮,雲林縣斗南鎮,7176
好房網,雲林縣,斗六市,雲林縣斗六市,25231
好房網,雲林縣,元長鄉,雲林縣元長鄉,29390
好房網,雲林縣,大埤鄉,雲林縣大埤鄉,15330
好房網,雲林縣,土庫鎮,雲林縣土庫鎮,52934
好房網,雲林縣,口湖鄉,雲林縣口湖鄉,44678
好房網,雲林縣,二崙鄉,雲林縣二崙鄉,37450
好房網,基隆市,暖暖區,基隆市暖暖區,550
好房網,基隆市,信義區,基隆市信義區,12320
好房網,基隆市,安樂區,基隆市安樂區,23069
好房網,基隆市,仁愛區,基隆市仁愛區,11091
好房網,基隆市,中正區,基隆市中正區,48352
好房網,基隆市,中山區,基隆市中山區,47362
好房網,基隆市,七堵區,基隆市七堵區,25648
好房網,高雄市,鹽埕區,高雄市鹽埕區,59684
好房網,高雄市,彌陀區,高雄市彌陀區,11767
好房網,高雄市,燕巢區,高雄市燕巢區,43660
好房網,高雄市,橋頭區,高雄市橋頭區,48297
好房網,高雄市,鳳山區,高雄市鳳山區,32183
好房網,高雄市,旗津區,高雄市旗津區,16387
好房網,高雄市,旗山區,高雄市旗山區,58607
好房網,高雄市,鼓山區,高雄市鼓山區,50075
好房網,高雄市,路竹區,高雄市路竹區,40511
好房網,高雄市,楠梓區,高雄市楠梓區,55439
好房網,高雄市,新興區,高雄市新興區,37134
好房網,高雄市,湖內區,高雄市湖內區,20711
好房網,高雄市,鳥松區,高雄市鳥松區,48005
好房網,高雄市,梓官區,高雄市梓官區,753
好房網,高雄市,茄萣區,高雄市茄萣區,47566
好房網,高雄市,苓雅區,高雄市苓雅區,43516
好房網,高雄市,美濃區,高雄市美濃區,47770
好房網,高雄市,前鎮區,高雄市前鎮區,3809
好房網,高雄市,前金區,高雄市前金區,5306
好房網,高雄市,阿蓮區,高雄市阿蓮區,22810
好房網,高雄市,林園區,高雄市林園區,29490
好房網,高雄市,岡山區,高雄市岡山區,49322
好房網,高雄市,那瑪夏區,高雄市那瑪夏區,3398
好房網,高雄市,杉林區,高雄市杉林區,25849
好房網,高雄市,甲仙區,高雄市甲仙區,34296
好房網,高雄市,田寮區,高雄市田寮區,41384
好房網,高雄市,永安區,高雄市永安區,4399
好房網,高雄市,左營區,高雄市左營區,57779
好房網,高雄市,六龜區,高雄市六龜區,19735
好房網,高雄市,內門區,高雄市內門區,17930
好房網,高雄市,仁武區,高雄市仁武區,46833
好房網,高雄市,小港區,高雄市小港區,9307
好房網,高雄市,大樹區,高雄市大樹區,17741
好房網,高雄市,大寮區,高雄市大寮區,36639
好房網,高雄市,大社區,高雄市大社區,19693
好房網,高雄市,三民區,高雄市三民區,56144
好房網,桃園市,觀音區,桃園市觀音區,27859
好房網,桃園市,蘆竹區,桃園市蘆竹區,48286
好房網,桃園市,龜山區,桃園市龜山區,27676
好房網,桃園市,龍潭區,桃園市龍潭區,54469
好房網,桃園市,楊梅區,桃園市楊梅區,45218
好房網,桃園市,新屋區,桃園市新屋區,42518
好房網,桃園市,復興區,桃園市復興區,59827
好房網,桃園市,桃園區,桃園市桃園區,3445
好房網,桃園市,平鎮區,桃園市平鎮區,40889
好房網,桃園市,中壢區,桃園市中壢區,37545
好房網,桃園市,大溪區,桃園市大溪區,29160
好房網,桃園市,大園區,桃園市大園區,30432
好房網,桃園市,八德區,桃園市八德區,4611
好房網,苗栗縣,頭屋鄉,苗栗縣頭屋鄉,14987
好房網,苗栗縣,頭份市,苗栗縣頭份市,55206
好房網,苗栗縣,銅鑼鄉,苗栗縣銅鑼鄉,46552
好房網,苗栗縣,獅潭鄉,苗栗縣獅潭鄉,50492
好房網,苗栗縣,造橋鄉,苗栗縣造橋鄉,59355
好房網,苗栗縣,通霄鎮,苗栗縣通霄鎮,4416
好房網,苗栗縣,泰安鄉,苗栗縣泰安鄉,15450
好房網,苗栗縣,苗栗市,苗栗縣苗栗市,52047
好房網,苗栗縣,苑裡鎮,苗栗縣苑裡鎮,16164
好房網,苗栗縣,後龍鎮,苗栗縣後龍鎮,44622
好房網,苗栗縣,南庄鄉,苗栗縣南庄鄉,5632
好房網,苗栗縣,卓蘭鎮,苗栗縣卓蘭鎮,44799
好房網,苗栗縣,西湖鄉,苗栗縣西湖鄉,55431
好房網,苗栗縣,竹南鎮,苗栗縣竹南鎮,51730
好房網,苗栗縣,公館鄉,苗栗縣公館鄉,42177
好房網,苗栗縣,大湖鄉,苗栗縣大湖鄉,56495
好房網,苗栗縣,三灣鄉,苗栗縣三灣鄉,8408
好房網,苗栗縣,三義鄉,苗栗縣三義鄉,625
好房網,屏東縣,鹽埔鄉,屏東縣鹽埔鄉,47849
好房網,屏東縣,麟洛鄉,屏東縣麟洛鄉,31532
好房網,屏東縣,潮州鎮,屏東縣潮州鎮,48941
好房網,屏東縣,滿州鄉,屏東縣滿州鄉,40855
好房網,屏東縣,萬巒鄉,屏東縣萬巒鄉,36102
好房網,屏東縣,萬丹鄉,屏東縣萬丹鄉,46366
好房網,屏東縣,獅子鄉,屏東縣獅子鄉,45045
好房網,屏東縣,新園鄉,屏東縣新園鄉,7826
好房網,屏東縣,新埤鄉,屏東縣新埤鄉,37129
好房網,屏東縣,高樹鄉,屏東縣高樹鄉,51361
好房網,屏東縣,琉球鄉,屏東縣琉球鄉,11594
好房網,屏東縣,泰武鄉,屏東縣泰武鄉,34852
好房網,屏東縣,崁頂鄉,屏東縣崁頂鄉,31084
好房網,屏東縣,春日鄉,屏東縣春日鄉,26529
好房網,屏東縣,恆春鎮,屏東縣恆春鎮,57573
好房網,屏東縣,屏東市,屏東縣屏東市,25867
好房網,屏東縣,南州鄉,屏東縣南州鄉,26329
好房網,屏東縣,長治鄉,屏東縣長治鄉,18007
好房網,屏東縣,林邊鄉,屏東縣林邊鄉,11836
好房網,屏東縣,枋寮鄉,屏東縣枋寮鄉,31101
好房網,屏東縣,枋山鄉,屏東縣枋山鄉,10302
好房網,屏東縣,東港鎮,屏東縣東港鎮,10284
好房網,屏東縣,佳冬鄉,屏東縣佳冬鄉,56173
好房網,屏東縣,里港鄉,屏東縣里港鄉,15345
好房網,屏東縣,車城鄉,屏東縣車城鄉,52291
好房網,屏東縣,牡丹鄉,屏東縣牡丹鄉,45090
好房網,屏東縣,竹田鄉,屏東縣竹田鄉,19946
好房網,屏東縣,內埔鄉,屏東縣內埔鄉,19401
好房網,屏東縣,三地門鄉,屏東縣三地門鄉,5897
好房網,屏東縣,九如鄉,屏東縣九如鄉,50821
好房網,南投縣,集集鎮,南投縣集集鎮,30634
好房網,南投縣,鹿谷鄉,南投縣鹿谷鄉,42787
好房網,南投縣,魚池鄉,南投縣魚池鄉,16433
好房網,南投縣,國姓鄉,南投縣國姓鄉,43116
好房網,南投縣,草屯鎮,南投縣草屯鎮,35169
好房網,南投縣,埔里鎮,南投縣埔里鎮,29502
好房網,南投縣,南投市,南投縣南投市,20144
好房網,南投縣,信義鄉,南投縣信義鄉,45002
好房網,南投縣,竹山鎮,南投縣竹山鎮,23947
好房網,南投縣,名間鄉,南投縣名間鄉,4198
好房網,南投縣,水里鄉,南投縣水里鄉,1762
好房網,南投縣,仁愛鄉,南投縣仁愛鄉,1897
好房網,南投縣,中寮鄉,南投縣中寮鄉,9315
好房網,金門縣,烈嶼鄉,金門縣烈嶼鄉,51043
好房網,金門縣,金寧鄉,金門縣金寧鄉,26555
好房網,金門縣,金湖鎮,金門縣金湖鎮,22836
好房網,金門縣,金城鎮,金門縣金城鎮,10035
好房網,金門縣,金沙鎮,金門縣金沙鎮,55213
好房網,花蓮縣,豐濱鄉,花蓮縣豐濱鄉,38045
好房網,花蓮縣,鳳林鎮,花蓮縣鳳林鎮,45161
好房網,花蓮縣,壽豐鄉,花蓮縣壽豐鄉,2967
好房網,花蓮縣,萬榮鄉,花蓮縣萬榮鄉,54029
好房網,花蓮縣,瑞穗鄉,花蓮縣瑞穗鄉,23462
好房網,花蓮縣,新城鄉,花蓮縣新城鄉,38224
好房網,花蓮縣,富里鄉,花蓮縣富里鄉,56336
好房網,花蓮縣,花蓮市,花蓮縣花蓮市,55010
好房網,花蓮縣,卓溪鄉,花蓮縣卓溪鄉,28412
好房網,花蓮縣,秀林鄉,花蓮縣秀林鄉,19044
好房網,花蓮縣,吉安鄉,花蓮縣吉安鄉,41158
好房網,花蓮縣,光復鄉,花蓮縣光復鄉,1011
好房網,花蓮縣,玉里鎮,花蓮縣玉里鎮,31318
好房網,宜蘭縣,蘇澳鎮,宜蘭縣蘇澳鎮,50737
好房網,宜蘭縣,羅東鎮,宜蘭縣羅東鎮,38105
好房網,宜蘭縣,礁溪鄉,宜蘭縣礁溪鄉,9830
好房網,宜蘭縣,頭城鎮,宜蘭縣頭城鎮,19271
好房網,宜蘭縣,員山鄉,宜蘭縣員山鄉,1072
好房網,宜蘭縣,南澳鄉,宜蘭縣南澳鄉,52843
好房網,宜蘭縣,宜蘭市,宜蘭縣宜蘭市,1453
好房網,宜蘭縣,壯圍鄉,宜蘭縣壯圍鄉,22854
好房網,宜蘭縣,冬山鄉,宜蘭縣冬山鄉,20822
